text|source|page|chunk_id
"1774 BULLETIN OFFICIEL Nº 7222 – 30 moharrem 1445 (17-8-2023) 
 
 
 
Arrêté du ministre délégué auprès de la ministre de l’économie et des finances, chargé du budget n° 1692 -23 du 4 hija 1444  (23 juin 2023) 
relatif à la dématérialisation des procédures, des documents et des pièces relatifs aux marchés publics. 
 
 
LE MINISTRE DÉLÉGUÉ AUPRÈS DE LA MINISTRE DE L’ÉCONOMIE ET DES FINANCES, CHARGÉ DU BUDGET, 
Vu la loi n° 112-13 relative au nantissement des marchés publics, promulguée par le dahir n° 1-15-05 du 29 rabii II 1436 (19 
février 2015) ; 
Vu la loi n° 43 -20 relative aux services de confiance  pour les transactions électroniques,  promulguée par le dahir n° 1-20-
100 du 16 joumada I 1442 (31 décembre 2020) ; 
Vu la loi n° 53 -05 relative à l’échange électronique des  données juridiques, promulguée par le dahir n° 1 -07-129 du 19 kaada 
1428 (30 novembre 2007) ; 
Vu la loi n° 55-19 relative à la simplification  des procédures et formalités administratives, promulguée par le  dahir n° 1-20-
06 du 11 rejeb 1441 (6 mars 2020) ; 
Vu la loi n° 69-00 relative au contrôle financier de l’Etat sur le entreprises publiques et autres organismes, promulguée par le 
dahir n° 1-03-195 du 16 ramadan 1424 (11 novembre 2003), telle qu’elle a été modifiée et complétée ; 
Vu le  dahir  n°  1 -56 -211  du  8  joumada  I  1376  (11 décembre 1956) relatif aux garanties pécuniaires des 
soumissionnaires  et adjudicataires de marchés publics ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|0|e28c8a47052247b6b0756dd08b9b9728
"soumissionnaires  et adjudicataires de marchés publics ; 
Vu le décret Royal n° 330-66 du 10 moharrem 1387 (21 avril  1967) portant règlement général de comptabilité publique, 
tel qu’il a été modifié et complété ; 
Vu le décret n° 2-07-1235 du 5 kaada 1429 (4 novembre 2008) relatif au contrôle des dépenses de l’Etat, tel qu’il a été complété ; 
Vu le décret n° 2-14-272 du 14 rejeb 1435 (14 mai 2014) relatif aux avances en matière de marchés publics ; 
Vu le décret n° 2-17-449 du 4 rabii I 1439 (23 novembre 2017) portant règlement de la comptabilité publique des régions et 
de leurs groupements ; 
Vu le décret n° 2-17-450 du 4 rabii I 1439 (23 novembre 2017) portant règlement de la comptabilité publique des préfectures  et des 
provinces et de leurs groupements ; 
Vu le décret n° 2-17-451 du 4 rabii I 1439 (23 novembre 2017) portant règlement de la comptabilité publique des communes  et des 
établissements de coopération intercommunale  ; 
Vu le décret  n°   2 -22- 431   du   15   chaabane  1444 (8 mars 2023) relatif aux marchés publics notamment, ses  articles 
135 à 141 ; 
Après avis de la Commission nationale de la commande  publique, 
ARRÊTE : 
Chapitre premier 
Dispositions générales 
ARTICLE PREMIER. – Le présent arrêté fixe : 
– les modalités de gestion du portail des marchés publics  par la Trésorerie générale du Royaume ;  
– les modalités de publication des informations et des  documents au niveau du portail des marchés publics ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|0|ee44f00cbc434325843fbb7f72845ea1
"– les modalités de publication des informations et des  documents au niveau du portail des marchés publics ; 
– les conditions et modalités de dépôt et de retrait des plis et des offres des concurrents par voie électronique ; 
– les modalités de dématérialisation  des garanties pécuniaires ; 
– les conditions et modalités de l’ouverture des plis et de l’évaluation des offres des concurrents par voie électronique ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|0|4e47c535816c49dabccf0b3e09f187a0
"Nº 7222 – 30 moharrem 1445 (17-8-2023) BULLETIN OFFICIEL 1775 
 
 
– les conditions et modalités de recours et de mise en œuvre des enchères électroniques inversées ; 
– les conditions et modalités de l’achat sur des bons de commande par voie électronique ; 
– les conditions et modalités de dématérialisation  du nantissement des marchés publics ; 
– les conditions et modalités d’interopérabilité  avec les systèmes tiers ; 
– les conditions et modalités de dématérialisation  des documents et pièces ; 
– les modalités de dématérialisation  de l’étude préalable des projets de dossiers de consultations ;  
– les modalités de tenue et d’exploitation de la base de données des prestataires. 
ART. 2. – Au sens du présent arrêté, on entend par : 
a) portail des marchés publics : la plateforme nationale de dématérialisation des procédures de passation des marchés  publics 
dont la gestion est assurée par la Trésorerie générale  du Royaume ; 
b) acteurs du portail des marchés publics : tout intervenant,  directement ou indirectement, dans le circuit des marchés  publics, 
notamment le maître d’ouvrage, le concurrent, le  titulaire du marché, l’agent chargé du contrôle, le comptable  public ou la 
personne chargée du paiement, l’organisme agréé  et les agents dûment habilités ; 
c) commission  de consultation : les commissions  chargées de l’ouverture des plis et de l’évaluation des offres  des 
concurrents notamment, les commissions d’appels d’offres et les commissions de négociation ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|1|37ce3cdcd86c47eba6eb0138679a605c
"concurrents notamment, les commissions d’appels d’offres et les commissions de négociation ; 
d) garanties pécuniaires : les garanties pécuniaires exigées du concurrent ou du titulaire du marché en vertu de la 
législation et de la réglementation  en vigueur, telles que le cautionnement provisoire ou l’attestation de la caution personnelle et 
solidaire en tenant lieu, le cautionnement  définitif et la retenue de garantie ou les cautions personnelles  et solidaires qui les 
remplacent et la caution garantissant le  remboursement  de l’avance consentie par le maître d’ouvrage ; 
e) organisme agréé : l’organisme autorisé par le ministre chargé des finances à délivrer les garanties pécuniaires visées ci-dessus ; 
f) base de données des prestataires : le système centralisé  d’enregistrement électronique des entrepreneurs, fournisseurs  et 
prestataires de services au niveau du portail des marchés  publics qui permet la consolidation des informations  les concernant selon 
un procédé structuré, transparent et sécurisé ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|1|b66e8b36400d412289716bf3ba85eb1a
"1776 BULLETIN OFFICIEL Nº 7222 – 30 moharrem 1445 (17-8-2023) 
 
g) système tiers : toute plateforme informatique ou tout  système d’informations externes au portail des marchés publics 
intégrant des documents ou des données qui se rapportent aux  concurrents participant aux marchés publics. 
ART. 3. – Les acteurs visés au paragraphe b) de l’article 2 ci-dessus accèdent au portail des marchés publics moyennant  
l’attribution d’un nom de compte et d’un mot de passe. 
Le nom de compte et le mot de passe sont attribués selon les modalités d’inscription publiées sur ledit portail. 
ART. 4. – Le concurrent inscrit au portail des marchés  publics dispose de son propre espace au niveau de la base de 
données des prestataires. Cet espace comporte, outre les  informations relatives à ses capacités juridiques, techniques et 
financières, l’ensemble des services offerts par le portail  des marchés publics pour lesquels il est habilité à y accéder. 
ART. 5. – Les acteurs du portail des marchés publics  demeurent seuls responsables : 
– de l’usage du nom de compte et du mot de passe qui  leur sont attribués et, le cas échéant, des comptes des  utilisateurs 
qu’ils créent ; 
– des informations et des documents qu’ils publient ou  qu’ils échangent via le portail des marchés publics ; 
– des informations associées à leurs comptes et  des  mises à jour y afférentes, qu’ils introduisent ou qu’ils  soumettent au 
gestionnaire du portail des marchés publics pour prise en charge."|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|2|439676f6ab8847a79a113627df92911b
"gestionnaire du portail des marchés publics pour prise en charge. 
ART. 6. – La signature électronique des pièces et documents s’effectue, à travers le portail  des marchés publics, au moyen 
d’un certificat de signature électronique  conformément aux dispositions des textes législatifs et réglementaires en vigueur et aux 
conditions d’utilisation du  portail des marchés publics. 
Lorsque le portail des marchés publics affiche que la  signature électronique d’une pièce n’est pas valide, l’acteur du 
portail concerné est tenu de revérifier la validité de ladite  signature via les points de contrôle accessibles au niveau dudit portail. 
Chapitre II 
Gestion du portail des marchés publics 
ART. 7. – Conformément aux dispositions du premier  paragraphe de l’article 134 du décret susvisé n° 2 -22-431, le portail 
des marchés publics est géré par la Trésorerie générale  du Royaume. 
La Trésorerie générale du Royaume désignée ci -après par le « gestionnaire du  portail », est chargée de : 
– l’hébergement de l’infrastructure  technique (matériel et logiciels) du portail ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|2|ba008464d43944a7a186faa028ff8298
"Nº 7222 – 30 moharrem 1445 (17-8-2023) BULLETIN OFFICIEL 1777 
 
 
– la maintenance préventive et évolutive dudit portail ; 
– la mise en place du dispositif de création et de gestion des comptes des acteurs et des utilisateurs du portail ; 
– la création et la gestion des comptes utilisateurs des différents acteurs du portail ; 
– la veille sur le respect de l’utilisation du portail ; 
– la sécurité technique et cryptographique  du portail ; 
– la gestion des certificats électroniques utilisés par les  maîtres d’ouvrages selon les conditions d’utilisation du portail. 
Chapitre III 
Publication des documents au portail des marchés publics 
ART. 8. – Il est procédé, comme suit, à la publication sur le portail des marchés publics des documents suivants : 
a) la Trésorerie générale du Royaume est chargée de la  publication des textes législatifs et réglementaires relatifs aux  
marchés publics ; 
b) le maître d’ouvrage est chargé de la publication sur le portail des marchés publics des documents et pièces suivants : 
– le programme prévisionnel triennal des marchés et sa mise à jour ; 
– les avis de publicité et les avis rectificatifs y afférents ; 
– les avis d’appel à manifestation d’intérêt ; 
– les avis des enchères électroniques inversées ; 
– les dossiers d’appel à la concurrence et les modifications y afférentes, le cas échéant ; 
– les procès-verbaux des réunions ou des visites des lieux, le cas échéant ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|3|c2a69e34726b49b89939f291a06072ea
"– les procès-verbaux des réunions ou des visites des lieux, le cas échéant ; 
– les extraits des procès -verbaux des séances d’examen  des offres ; 
– les résultats des appels d’offres, des marchés négociés  avec publicité  préalable  et  mise  en  concurrence,  des concours,  
des consultations  architecturales,  des concours architecturaux et des consultations architecturales négociées, des 
enchères électroniques  inversées, des achats sur catalogues électroniques et des bons de commande ; 
– les décisions d’annulation de la procédure ; 
– les rapports de présentation des marchés ; 
– les rapports d’achèvement de l’exécution des marchés ; 
– les décisions d’exclusion de la participation aux marchés publics ou aux contrats  d’architectes ;  
– les synthèses des rapports de contrôle et d’audit ; 
– la liste des conventions et des contrats de droit commun ; 
– la liste des bons de commande comportant, selon la  nature des prestations, le nombre de bons de commande conclus au titre 
de l’année budgétaire précédente et leur montant global ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|3|4e9e2248959845f197dbe4142bf51699
"1778 BULLETIN OFFICIEL Nº 7222 – 30 moharrem 1445 (17-8-2023) 
 
– la liste des marchés publics attribués aux très petites,  petites et moyennes entreprises, aux coopératives, aux  unions de 
coopératives et aux auto-entrepreneurs.  
c) la commission nationale de la commande publique  est chargée de la publication des avis émanant  d’elle ; 
d) les administrations habilitées à délivrer les certificats  de qualification et de classification des entreprises, les certificats 
d’agrément relatif à la maîtrise d’œuvre et de toute  autorisation requise pour l’exercice d’une activité, sont chargé de la publication 
des décisions de leur  retrait. 
Chapitre IV 
Conditions et modalités de dépôt et de retrait des plis et des offres par voie électronique 
ART. 9. – En application des dispositions de l’article 135 du décret précité n° 2 -22-431, le dépôt et le retrait des plis et  des 
offres des concurrents s’effectuent par voie électronique,  sous réserve des dispositions de l’article 60 du présent arrêté. 
A cet effet, le portail des marchés publics permet : 
a) au maître d’ouvrage : 
– de soumettre aux membres de la commission de consultation le dossier de consultation pour recueillir  leurs observations 
éventuelles ; 
– de définir  la composition et le contenu des plis électroniques exigés tels que prévus par le règlement de consultation ; 
– de définir, conformément  aux conditions d’utilisation du portail des marchés publics, les bi -clés de chiffrement  et de"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|4|969f5af03861463c88184a3656df9a1e
"– de définir, conformément  aux conditions d’utilisation du portail des marchés publics, les bi -clés de chiffrement  et de 
déchiffrement des plis électroniques associés à la  consultation ; 
– de saisir les concurrents concernés, avant l’expiration du délai de validité des offres, en vue de leur demander une prorogation 
dudit délai conformément aux dispositions  de l’article 36 du décret précité n° 2-22-431 ; 
– de publier le résultat de la séance d’ouverture des plis  et d’évaluation des offres ; 
– d’informer l’attributaire de l’acceptation de son offre et  d’aviser les concurrents éliminés du rejet de leurs offres,  en leur 
indiquant les motifs  de leur éviction ;  
– de traiter tout document ou donnée ayant un lien avec la passation des marchés publics. 
ART. 9. 
b) à la commission de consultation : 
– de déchiffrer les candidatures et les offres électroniques déposées par les concurrents ; 
– d’ouvrir les plis des concurrents et d’évaluer leurs offres ; 
– de gérer l’admissibilité des concurrents et de renseigner  les résultats de l’évaluation des offres au fur et à mesure du 
déroulement des travaux de la commission de consultation ; 
– de demander aux concurrents des éclaircissements  conformément  aux dispositions des articles 40 et 41 du décret précité 
n° 2-22-431 ;"|data_input/Arrete_1692_BO_7222_Fr_Dématérialisation.pdf|4|51ab05cd185c476db61c2a2573a08b18
